Scientific,Common_Nam,Circumfere,Height,Spread,Points,Latitude_NAD83,Longitude_NAD83,POINT_X_NAD83_17N,POINT_Y_NAD83_17N,Database,National_C,Year,Nominated by
Pinus taeda,Loblolly pine,178.0,0.0,0.0,0.0,33.8291,-80.8418,514639.21,3743217.88,Phillips,,2011,
Pinus taeda,Loblolly pine,175.0,0.0,0.0,0.0,33.8285,-80.8421,514611.07,3743151.01,Phillips,,2011,
Pinus taeda,Loblolly pine,175.0,0.0,0.0,0.0,33.8293,-80.8417,514648.35,3743239.89,Phillips,,2011,
Pinus taeda,Loblolly pine,168.0,0.0,0.0,0.0,33.8144,-80.7999,518519.55,3741594.57,Phillips,,2011,
Pinus taeda,Loblolly pine,188.0,125.0,,,33.8193,-80.8124,517361.06,3742136.43,Grego2014,,2014,
Pinus taeda,Loblolly pine,184.5,,,,33.8185,-80.8135,517259.43,3742047.55,Grego2014,,2014,
Pinus taeda,Loblolly pine,184.0,145.0,,,33.8235,-80.8043,518109.78,3742603.50,Grego2014,,2014,
Pinus taeda,Loblolly pine,167.0,,,,33.8171,-80.7969,518795.96,3741895.23,Grego2014,,2014,
Planera aquatica,Water Elm,88.0,73.0,36.0,170.0,33.8163,-80.8310,515641.01,3741798.99,Jones1996,STATE CHAMP,1996,
Planera aquatica,Water Elm,96.0,62.0,45.0,169.3,33.7712,-80.7057,527253.75,3736825.86,Clemson,State,2012,
Planera aquatica,Water Elm,96.0,62.0,45.0,169.3,33.7712,-80.7057,527253.75,3736825.86,F.Chisolm Beckham,,2002,
Planera aquatica,Water Elm,93.0,61.0,41.0,164.0,33.7713,-80.7057,527251.85,3736832.94,Jones1996,,1996,
Planera aquatica,Water Elm,72.0,70.0,33.0,150.0,33.8074,-80.8264,516063.99,3740816.96,Jones1996,,1996,
Populus deltoides,Eastern Cottonwood,159.0,127.0,62.0,302.0,33.8064,-80.8325,515499.00,3740699.96,Jones1996,STATE CHAMP,1996,
Populus deltoides,Eastern Cottonwood,135.6,120.0,60.0,270.6,33.7925,-80.8349,515284.64,3739158.35,F.Chisolm Beckham,,2002,
Populus deltoides,Eastern Cottonwood,142.0,106.0,61.0,263.0,33.7935,-80.8347,515300.00,3739269.92,Jones1996,revisit,1996,
Populus heterophylla,Swamp Cottonwood,93.0,97.0,28.0,197.0,33.8178,-80.7919,519256.68,3741973.76,GaryWilliamson,state,2012,
Populus heterophylla,Swamp Cottonwood,93.00,100.00,,,33 49.064,80 47.515,33.8167,-80.7835,John Grego,,2016,
Populus heterophylla  ,Swamp Cottonwood, 108.5,100.00,,,33 46.303,80 40.142,33.7668,-80.6667,John Grego,,2016,
Populus heterophylla  , Swamp Cottonwood ,105.00,105.00,,,33 48.350,80 47.535,33.8001,-80.7835,John Grego,,2016,
Quercus falcata (pagodifolia),southern red oak,250.0,158.0,124.0,439.0,33.8067,-80.8160,517034.98,3740739.95,Jones1996,STATE CHAMP?,1996,
Quercus falcata (pagodifolia),southern red oak,246.0,138.0,89.0,406.0,33.8060,-80.8218,516493.99,3740655.95,Jones1996,?,1996,
Quercus falcata (pagodifolia),southern red oak,229.0,154.0,82.0,404.0,33.8096,-80.8315,515594.00,3741053.97,Jones1996,,1996,
Quercus falcata (pagodifolia),southern red oak,211.0,170.0,88.0,403.0,33.8079,-80.8110,517496.98,3740877.96,Jones1996,,1996,
Quercus falcata (pagodifolia),southern red oak,248.0,132.0,82.0,401.0,33.8114,-80.7968,518802.96,3741263.96,Jones1996,,1996,
Quercus falcata (pagodifolia),southern red oak,211.0,167.0,92.0,401.0,33.8054,-80.8335,515410.00,3740590.96,Jones1996,,1996,
Quercus falcata (pagodifolia),southern red oak,209.0,164.0,64.0,389.0,33.8112,-80.8476,514105.02,3741228.98,Jones1996,,1996,
Quercus laurifolia,Swamp Laurel oak,265.0,130.1,80.5,415.0,33.8013,-80.8130,517309.13,3740139.86,Phillips,National Champion,2006,
